location;x;y;frequency
Bahamas;-78.05022241;24.83181021;2
Bermuda;-64.75541556;32.30361072;2
Croatia;17.4768111;42.74440827;12
Fiji;178.997748;-16.75269778;1
Florida Keys;-81.54550213;24.63698433;1
Hawai;20.83138496;-156.4138811;6
Indonesia;130.4238051;-2.046102275;34
Ireland;53.21133361;-9.130574394;1
Madagascar;-19.26499371;44.22864615;1
Palau;134.3978811;7.312113282;34
Puerto Rico;-66.45967702;18.31982364;1
Ukraine;31.46186998;46.57209922;1
Vietnam;107.1810792;20.90386043;6
